tt0000203	short	Je vous y prrrrends!	1898	\N
tt0000204	short	Jésus devant Pilate	1898	\N
tt0000205	short	Leçons de boxe	1898	1
tt0000206	short	Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona	1898	\N
tt0000207	short	London Express	1898	\N
tt0000208	short	The Miller and Chimney Sweep	1897	1
tt0000209	short	Photographing a Ghost	1898	\N
tt0000210	short	A Novice at X-rays	1898	1
tt0000211	short	The Astronomer's Dream; or, The Man in the Moon	1898	3
tt0000212	short	Saida do Paquete Duque de Braganca	1898	\N
tt0000213	short	Scène d'escamotage	1898	1
tt0000214	short	Tearing Down the Spanish Flag	1898	\N
tt0000215	short	Smích a plác	1898	\N
tt0000216	short	Visita de Doña María Cristina y Alfonso XIII a Barcelona	1898	\N
tt0000217	short	Waves and Spray	1898	\N
tt0000218	short	L'affaire Dreyfus	1899	13
tt0000219	short	Aladdin and the Wonderful Lamp	1899	\N
tt0000220	short	The Artist and the Flower Girl	1901	\N
tt0000221	short	Aspectos da Praia de Cascais	1899	\N
tt0000222	short	Au cabaret	1899	1
tt0000223	short	L'aveugle	1899	\N
tt0000224	short	Battlefield	1899	\N
tt0000225	short	Beauty and the Beast	1899	\N
tt0000226	short	Boat Race	1899	\N
tt0000227	short	Bombardment of Mafeking	1899	\N
tt0000228	short	La bonne absinthe	1899	1
tt0000229	short	Casey at the Bat	1899	1
tt0000230	short	Cinderella	1899	6
tt0000231	short	Portuguese Railway Train	1896	1
tt0000232	short	Le chiffonnier	1899	\N
tt0000233	short	Choque de dos transatlánticos	1899	2
tt0000234	short	Cleopatra's Tomb	1899	1
tt0000235	short	Haggard's She: The Pillar of Fire	1899	1
tt0000236	short	Courte échelle	1899	\N
tt0000237	short	Le crucifiement	1899	\N
tt0000238	short	Les dangers de l'alcoolisme	1899	\N
tt0000239	short	Danse serpentine par Mme. Bob Walter	1899	2
tt0000240	short	Distributing a War Extra	1899	1
tt0000241	short	La descente de croix	1899	\N
tt0000242	short	The Sign of the Cross	1900	3
tt0000243	short	Le déjeuner des enfants	1899	\N
tt0000244	short	Erreur judiciaire	1899	\N
tt0000245	short	The Haunted House	1899	\N
tt0000246	short	A Turn of the Century Illusionist	1899	1
tt0000247	short	King John	1899	5
tt0000248	short	A Kiss in the Tunnel	1899	1
tt0000249	short	The Legacy	1899	\N
tt0000250	short	Llegada del vapor Bellver a Mallorca	1899	3
tt0000251	short	Matches: An Appeal	1899	1
tt0000252	short	La mauvaise soupe	1899	\N
tt0000253	short	The Miser's Doom	1899	\N
tt0000254	short	Monnaie de lapin	1899	\N
tt0000255	short	Mésaventure d'un charbonnier	1899	\N
tt0000256	short	Panorama from the Tower of the Brooklyn Bridge	1899	1
tt0000257	short	La résurrection	1899	\N
tt0000258	short	Le tondeur de chiens	1899	\N
tt0000259	short	Le tonnelier	1899	\N
tt0000260	short	Transformations	1899	\N
tt0000261	short	A Midnight Episode	1899	1
tt0000262	short	Un lunch	1899	\N
tt0000263	short	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	1899	\N
tt0000264	short	Summoning the Spirits	1899	1
tt0000265	short	Above the Limit	1900	\N
tt0000266	short	Above the Speedway	1900	\N
tt0000267	short	L'angélus	1900	\N
tt0000268	short	L'arléquine	1900	\N
tt0000269	short	Army Life; or, How Soldiers Are Made: Mounted Infantry	1900	\N
tt0000270	short	Arrivée d'Arléquin	1900	\N
tt0000271	short	Arrivée de Pierette et Pierrot	1900	\N
tt0000272	short	As Seen Through a Telescope	1900	1
tt0000273	short	Attack on a China Mission	1900	4
tt0000274	short	Avenue de l'opéra	1900	1
tt0000275	short	Badinage	1900	\N
tt0000276	short	Bataille d'oreillers	1900	\N
tt0000277	short	Bataille de boules de neige	1900	\N
tt0000278	short	Buffalo Bill's Show Parade	1900	\N
tt0000279	short	Buffalo Bill's Wild West Parade	1900	\N
tt0000280	short	Buffalo Bill's Wild West Parade	1900	\N
tt0000281	short	Buffalo Bill's Wild West Show	1900	\N
tt0000282	short	Le bébé	1900	\N
tt0000283	short	Chez le Maréchal-Ferrant	1900	\N
tt0000284	short	Chez le photographe	1900	1
tt0000285	short	Chinese Magic	1900	\N
tt0000286	short	Chirurgie fin de siècle	1900	2
tt0000287	short	The Clown and the Alchemist	1900	1
tt0000288	short	La concierge	1900	1
tt0000289	short	Coucher d'une Parisienne	1900	\N
tt0000290	short	Dance de l'ivresse	1900	\N
tt0000291	short	Dans les coulisses	1900	\N
tt0000292	short	Danse du papillon	1900	\N
tt0000293	short	Danse du pas des foulards par des almées	1900	\N
tt0000294	short	La danse du ventre	1900	\N
tt0000295	short	Danse du voile	1900	\N
tt0000296	short	Danse serpentine	1900	2
tt0000297	short	Danses	1900	\N
tt0000298	short	Déclaration d'amour	1900	\N
tt0000299	short	Le départ d'Arlequin et de Pierrette	1900	2
tt0000300	short	The Enchanted Drawing	1900	2
